period,parent_org,org,org_code,ae_type,tot_ae_adm,dta_4_12,dta_gt12,icb_code,icb_name,cluster,dta_gt4,hours_per_period,excess_mort,excess_beds,excess_mort_per_adm,excess_beds_per_adm,trend_velocity_pct,status_arrow
2021-03-01,NHS England North West,Miriam Minor Emergency,Y02532,Type 1 (Major),0,0,0,,,,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England South East,East Berks Primary Care OOH (WAM),Y00751,Type 1 (Major),0,0,0,,,,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England Midlands,South Birmingham GP Walk In Centre,Y02615,Type 1 (Major),0,0,0,,,,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England South East,PHL Lymington UTC,AQN04,Type 1 (Major),0,0,0,QRL,Hampshire and Isle of Wight ICB,Hampshire and Isle of Wight ICB,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England South East,Kent Community Health NHS Foundation Trust,RYY,Type 1 (Major),0,0,0,QKS,Kent and Medway ICB,Kent and Medway ICB,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England Midlands,Erdington GP Health & Wellbeing WIC,Y03007,Type 1 (Major),0,0,0,,,,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England Midlands,Market Harborough Medical Centre,C82009,Type 1 (Major),0,0,0,,,,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England South East,Queen Victoria Hospital NHS Foundation Trust,RPC,Type 1 (Major),0,0,0,S9B9J,Surrey and Sussex ICB,Surrey and Sussex ICB,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England South East,Southern Health NHS Foundation Trust,RW1,Type 1 (Major),0,0,0,QRL,Hampshire and Isle of Wight ICB,Hampshire and Isle of Wight ICB,0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England South West,Tetbury Hospital Trust Ltd,AAH,Type 1 (Major),0,0,0,QR1,Gloucestershire ICB,"Bristol, North Somerset and South Gloucestershire ICB with Gloucestershire ICB",0,720,0,0,NA,NA,0,✖ Low Baseline
2021-03-01,NHS England North West,Southport and Ormskirk Hospital NHS Trust,RVY,Type 1 (Major),2301,292,1,QYG,Cheshire and Merseyside ICB,Cheshire and Merseyside ICB,293,720,4.269036734842552,11.076849405617214,0.0018552962776369195,0.004813928468325603,-1.5011210693984267,▼ Decline
